Time [s],Violations_baseline,Violations_high_latency_loss,Violations_moderate_loss
6,8.283333333333335,6.3583333333333325,4.7250000000000005
7,10.091666666666667,7.845833333333333,6.591666666666668
9,10.295833333333334,9.595833333333333,11.549999999999999
10,8.370833333333334,7.145833333333334,10.645833333333332
11,4.695833333333335,5.716666666666667,9.916666666666666
13,1.3416666666666666,4.2,5.308333333333334
14,1.1083333333333336,3.150000000000001,2.1583333333333328
15,0.6124999999999996,2.8583333333333334,1.1666666666666665
16,0.17500000000000016,1.458333333333334,0.6708333333333333
54,0.37916666666666665,1.370833333333333,0.17500000000000016
55,0.8166666666666661,2.9458333333333333,0.9624999999999999
56,1.6625000000000005,3.558333333333334,2.45
57,2.6250000000000004,4.579166666666666,3.3249999999999993
59,6.5625,8.108333333333334,7.0
60,9.3625,10.5,7.583333333333334
61,10.5,12.716666666666667,8.049999999999999
62,10.558333333333332,14.145833333333334,8.195833333333333
63,9.654166666666667,15.458333333333332,6.679166666666667
64,10.441666666666666,13.416666666666666,6.008333333333334
65,8.1375,11.724999999999998,8.458333333333332
66,9.216666666666665,11.579166666666666,7.233333333333333
67,9.829166666666667,9.625,6.125
68,9.129166666666666,8.166666666666666,5.833333333333334
69,7.4375,7.699999999999999,3.966666666666667
70,7.6708333333333325,5.716666666666667,1.7791666666666668
71,5.629166666666666,3.7041666666666666,0.6708333333333333
72,2.6250000000000004,3.0625,0.17500000000000016
114,2.3916666666666675,1.6625000000000005,3.150000000000001
115,5.425,3.004166666666667,4.170833333333334
116,6.620833333333334,4.55,5.133333333333334
117,7.612500000000001,5.133333333333334,5.599999999999999
118,8.6625,5.629166666666666,6.970833333333333
119,10.208333333333332,7.116666666666666,7.116666666666666
120,10.354166666666668,10.674999999999999,8.370833333333334
121,10.85,12.658333333333335,9.1875
122,11.870833333333334,14.4375,10.85
123,11.695833333333333,13.7375,10.7625
124,8.895833333333332,12.425,11.375
125,8.429166666666667,8.983333333333333,9.625
126,8.254166666666666,7.233333333333333,8.604166666666666
127,7.116666666666666,8.779166666666669,6.7666666666666675
128,7.0875,7.641666666666667,6.620833333333334
129,6.0375,6.9416666666666655,6.125
130,3.6166666666666667,5.949999999999999,5.570833333333333
131,1.7791666666666668,3.2958333333333325,4.6083333333333325
174,2.1583333333333328,2.041666666666667,0.1458333333333338
175,3.3541666666666665,5.1625,1.2249999999999992
176,4.433333333333333,10.295833333333334,4.316666666666667
177,5.949999999999999,13.795833333333334,6.504166666666666
178,10.908333333333333,15.079166666666666,8.516666666666667
179,13.970833333333333,16.8,11.491666666666667
