Latency [ms],Crossings [count]
53,19.383333333333333
54,19.4
55,19.466666666666665
56,19.5
57,19.53333333333333
58,19.566666666666666
59,19.6
60,19.65
61,19.7
62,19.733333333333334
63,19.766666666666666
64,19.8
65,19.85
66,19.9
67,19.933333333333334
68,19.96666666666667
69,20.0
70,20.03333333333333
71,20.066666666666666
72,20.133333333333333
73,20.166666666666664
74,20.200000000000003
75,20.233333333333334
76,20.266666666666666
77,20.316666666666666
78,20.35
79,20.4
80,20.433333333333334
81,20.46666666666667
82,20.516666666666666
83,20.549999999999997
84,20.6
85,20.633333333333333
86,20.666666666666668
87,20.7
88,20.75
89,20.8
90,20.833333333333332
91,20.866666666666667
92,20.9
93,20.933333333333334
94,20.96666666666667
95,21.016666666666666
96,21.066666666666666
97,21.1
98,21.133333333333333
99,21.166666666666664
100,21.21666666666667
101,21.266666666666666
102,21.299999999999997
103,21.333333333333336
104,21.366666666666667
105,21.416666666666664
106,21.46666666666667
107,21.5
108,21.53333333333333
109,21.566666666666666
110,21.6
111,21.633333333333333
112,21.68333333333333
113,21.733333333333334
114,21.766666666666666
115,21.8
116,21.833333333333332
117,21.883333333333333
118,21.916666666666664
119,21.96666666666667
120,22.0
121,22.0
124,21.96666666666667
125,21.9
126,21.8
127,21.7
128,21.633333333333333
129,21.53333333333333
130,21.433333333333334
131,21.333333333333336
132,21.233333333333334
133,21.15
134,21.049999999999997
135,20.950000000000003
136,20.866666666666667
137,20.766666666666666
138,20.683333333333334
139,20.583333333333336
140,20.483333333333334
141,20.383333333333333
142,20.28333333333333
143,20.200000000000003
144,20.1
145,20.0
146,19.916666666666664
147,19.816666666666666
148,19.733333333333334
149,19.633333333333333
150,19.53333333333333
151,19.433333333333334
152,19.333333333333336
153,19.25
154,19.166666666666668
155,19.066666666666666
156,18.96666666666667
157,18.866666666666667
158,18.78333333333333
159,18.683333333333334
160,18.583333333333336
161,18.483333333333334
162,18.4
163,18.3
164,18.21666666666667
165,18.116666666666667
166,18.016666666666666
167,17.916666666666664
168,17.833333333333332
169,17.733333333333334
170,17.633333333333333
171,17.53333333333333
172,17.450000000000003
173,17.366666666666667
174,17.266666666666666
175,17.166666666666664
176,17.066666666666666
177,16.96666666666667
178,16.883333333333333
179,16.78333333333333
180,16.7
181,16.6
182,16.5
183,16.416666666666664
184,16.31666666666667
185,16.21666666666667
186,16.116666666666667
187,16.016666666666666
188,15.933333333333334
189,15.833333333333332
190,15.75
191,15.65
192,15.55
193,15.466666666666667
194,15.366666666666667
195,15.266666666666666
196,15.166666666666666
197,15.066666666666666
198,15.0
199,14.9
200,14.8
201,14.7
202,14.6
203,14.516666666666666
204,14.416666666666668
205,14.316666666666666
206,14.233333333333334
207,14.133333333333333
208,14.05
209,13.95
210,13.850000000000001
211,13.75
212,13.649999999999999
213,13.566666666666666
214,13.466666666666667
215,13.366666666666667
216,13.283333333333335
217,13.183333333333334
218,13.1
219,13.0
220,12.9
221,12.799999999999999
222,12.7
223,12.616666666666667
224,12.533333333333333
225,12.433333333333334
226,12.333333333333334
227,12.233333333333333
228,12.15
229,12.066666666666666
